reviewId,content,score
6e9ed484-9ac1-4bc2-9561-cc474cce4af9,Very good App,5
2ed2b654-b8ef-426d-97f9-8374c2d973a9,Thanks for Instagram and Facebook or Twitter account hai tumhare,5
4b0bfa8c-a648-428b-86d2-2ce9c88e6169,super,1
b21d122f-0e68-44f1-8602-a01cedd5cd24,Awesome,5
5aed521d-bb9f-410c-9021-594ff85256d0,"They Keep Locking my Account, supposedly due to using bots and techniques to increase my following and likes. I literally have 120 followers, have not posted since Thor Love and Thunder came out, and hardly use the app. Get your algorithm figured out IG. I barely used it in the first place and this is enough to encourage me to delete my account and the app.",1
af389d7b-4956-48ea-b262-007f1e9ec5d6,"It's very wonderful app for making and post reels, stories and videos and it's also very high quality app for that..",5
189a8fac-17b7-4bb1-8db2-8a0f6989e4d5,Super👌👌👌,5
f52f9583-a4e8-4040-b359-092c189cdbfe,"Constantly having my reach limited for no reason, people making fake accounts that are reported and never taken down",1
be2613ce-aec8-4cf9-9bd0-489074ddd0cc,Thiss aap is to good❤,5
bcbc19d0-83a2-4b1f-98ef-c292e35ed732,My Instagram account has been disabled by Instagram plz unable my Instagram account,1
7a85c363-d933-458f-b550-eb246fa76bbb,Ig has become so buggy and dysfunctional over the last few years and it's very agitating... fix your BILLON DOLLAR APP,3
42040ab4-4cc6-48dd-9b33-0bfde4128d1e,Nice app,5
f1e58f60-689c-42bc-9c69-cdbd6c79c980,This is the best app for me ❤❤❤,5
fa04360f-860f-445c-9ee3-b97e77f337db,Shubham,4
58d3ec7f-fc4f-4671-8776-2a627115b863,Nice Application,5
c02428d6-1cbc-466b-a211-1b781072fa00,💜🔥,5
2d5f241b-9849-4736-b95b-802889bcfe6f,Excellent 🥰🥰🥰🥰🥰😍😍🤩🤩🤩🥳🥳🥳,5
284b2df9-fd87-4305-96fa-b10a445f31a2,"Banned then deleted my account for no reason. I've only posted about ten photos of my own dogs with no private details on. I don't comment or share information, I only follower animal people or book readers. Now they banned and removed my account even when I sent proof it was my account as request",1
363b26d5-92bc-483d-961c-0d9d0e802efa,Handheld,5
f7f565dc-547e-416c-9e5f-ac2cbe6ca867,Nice app,5
c164ba3b-ebe9-478a-9f61-92b5fb321777,Nc,5
97a78d51-8dba-496d-99ca-32183a78e7ba,Good,5
5f299ac3-09a4-4d8b-9f4b-6263e0c1ef3d,😀,5
c8b0b113-3750-4045-b39d-fec697c62913,Feeling Comfortable.,4
140e0c4b-859f-464d-be95-d76554a682e6,Le premier au monde,5
e389aeb8-fe50-4e28-ab5a-165158230e36,Best otp app,5
86bf5fb8-532f-4ffa-8bad-5063f635200c,Janychowbhury05,5
4f8a49fb-b92d-41da-8791-e43820985886,"Awesome, I'm always having a lot of fun on here and reaching all of the right people",5
a66222f7-7180-4b26-a8a6-091507ffe009,So easy and faster,5
a4d8c1a8-f96e-4660-904b-f45a6bf27a63,Am impressed,5
